model;params_tried;best_params;ACC;Precision;Recall;F1;ROC;Jaccard;model_path
DecisionTreeClassifier;{'criterion': ['log_loss', 'gini', 'entropy'], 'splitter': ['best', 'random'], 'max_depth': [7, 9, 11, 13, None], 'max_features': ['log2', 'sqrt'], 'class_weight': [None, 'balanced']};{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'splitter': 'random'};0.74296875;0.421875;0.6022304832713755;0.4961715160796325;0.6913229567692188;0.329938900203666;model/DecisionTreeClassifier_1.pkl
XGBClassifier;{'nthread': [4], 'objective': ['binary:logistic'], 'learning_rate': [0.05], 'max_depth': [4, 5, 6, 7], 'min_child_weight': [1, 5, 10, 11], 'subsample': [0.6, 0.8, 1.0], 'colsample_bytree': [0.6, 0.7, 1.0], 'n_estimators': [5, 50, 100], 'missing': [-999], 'seed': [1337]};{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'missing': -999, 'n_estimators': 100, 'nthread': 4, 'objective': 'binary:logistic', 'seed': 1337, 'subsample': 0.6};0.85859375;0.7619047619047619;0.4758364312267658;0.585812356979405;0.7181358219437489;0.41423948220064727;model/XGBClassifier.pkl
GradientBoostingClassifier;[{'learning_rate': [0.1, 0.05, 0.01, 0.001], 'n_estimators': [10, 20, 30, 50, 100], 'max_depth': [7, 9, 11, 13, None], 'criterion': ['friedman_mse', 'mse'], 'loss': ['log_loss', 'exponential']}, {'loss': ['log_loss'], 'n_estimators': [100, 200, 300], 'learning_rate': [0.1, 0.05, 0.01, 0.001], 'max_depth': [4, 8, 16], 'min_samples_leaf': [100, 150, 250], 'max_features': [0.3, 0.1]}];{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': None, 'n_estimators': 30};0.79140625;0.5038759689922481;0.483271375464684;0.49335863377609107;0.6783320279895132;0.327455919395466;model/GradientBoostingClassifier.pkl
