model;params_tried;best_params;ACC;Precision;Recall;F1;ROC;Jaccard;model_path
DecisionTreeClassifier;{'criterion': ['log_loss', 'gini', 'entropy'], 'splitter': ['best', 'random'], 'max_depth': [7, 9, 11, 13, None], 'max_features': ['log2', 'sqrt'], 'class_weight': [None, 'balanced']};{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'splitter': 'best'};0.75703125;0.4492753623188406;0.6914498141263941;0.5446559297218155;0.7329652631462831;0.37424547283702214;model/DecisionTreeClassifier_2.pkl
XGBClassifier;{'nthread': [4], 'objective': ['binary:logistic'], 'learning_rate': [0.05], 'max_depth': [4, 5, 6, 7], 'min_child_weight': [1, 5, 10, 11], 'subsample': [0.6, 0.8, 1.0], 'colsample_bytree': [0.6, 0.7, 1.0], 'n_estimators': [5, 50, 100], 'missing': [-999], 'seed': [1337]};{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'missing': -999, 'n_estimators': 100, 'nthread': 4, 'objective': 'binary:logistic', 'seed': 1337, 'subsample': 0.8};0.79453125;0.5084745762711864;0.6691449814126395;0.5778491171749599;0.7485190782434117;0.40632054176072235;model/XGBClassifier_1.pkl
