model;params_tried;best_params;ACC;Precision;Recall;F1;ROC;Jaccard;model_path
DecisionTreeClassifier;{'criterion': ['log_loss', 'gini', 'entropy'], 'splitter': ['best', 'random'], 'max_depth': [7, 9, 11, 13, None], 'max_features': ['log2', 'sqrt'], 'class_weight': [None, 'balanced']};{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'random'};0.75375;0.43736730360934184;0.6149253731343284;0.5111662531017369;0.7027196035632116;0.3433333333333333;model/DecisionTreeClassifier_3.pkl
XGBClassifier;{'nthread': [4], 'objective': ['binary:logistic'], 'learning_rate': [0.05], 'max_depth': [4, 5, 6, 7], 'min_child_weight': [1, 5, 10, 11], 'subsample': [0.6, 0.8, 1.0], 'colsample_bytree': [0.6, 0.7, 1.0], 'n_estimators': [5, 50, 100], 'missing': [-999], 'seed': [1337]};{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'missing': -999, 'n_estimators': 100, 'nthread': 4, 'objective': 'binary:logistic', 'seed': 1337, 'subsample': 1.0};0.79375;0.505720823798627;0.6597014925373135;0.572538860103627;0.7444752521975105;0.4010889292196007;model/XGBClassifier_2.pkl
